WMT,$321.09B
STLRU,n/a
SRTSW,n/a
MSI,$16.04B
NCOM,$775.57M
OPK,$2.73B
GPK,$5.03B
INS,$42.13M
FIXD,$276.05M
BXMT,$3.35B
SGZA,n/a
PCG^A,n/a
TRVG,$3.15B
MYD,$662.2M
LPI,$2.42B
MPX,$541.47M
GOOGL,$825.12B
DTJ,n/a
MGM,$20.98B
PPT,$556.65M
HRB,$5.59B
TANNZ,n/a
FRC^E,n/a
ALLT,$166.9M
VRTS,$937.7M
RY^T,n/a
FALN,$41.57M
GDDY,$9.22B
VLY.WS,n/a
ERA,$225.02M
CINF,$12.72B
JTA,$202.11M
OMP,$521.9M
SNSS,$157.88M
BCS,$50.8B
CIG,$3.01B
AWRE,$96.18M
OMAB,$2.09B
HJLI,n/a
TEL,$36.67B
ITCB,$5.21B
TDY,$7.05B
LEXEA,$2.78B
GEB,n/a
SRRA,$179.9M
CIC.U,n/a
VRML,$99.6M
ISCA,$1.95B
QBAK,$17.94M
NNN^F,n/a
SFS,$710.32M
ONCS,$71.39M
ROX,$205.29M
FL,$6.25B
PRGS,$2.42B
STZ,$43.55B
IMUC.WS,n/a
SAIA,$1.99B
JMPD,n/a
AAXN,$1.45B
GMTA,n/a
LXRX,$1.16B
LQDT,$158.08M
FMX,$35.78B
BAC^C,n/a
RBB,$425.85M
FLWS,$752.87M
UBP^G,n/a
EVM,$239.62M
GBX,$1.51B
KODK,$400.17M
TGS,$3.72B
USOI,n/a
TVIZ,$4.67M
CABO,$4.1B
SFST,$322.04M
FEX,$1.59B
NTLA,$891.68M
WYIGU,$56.83M
HII,$11.21B
FELP,$592.5M
CHH,$4.65B
DRIO,$22.14M
CAT,$99.39B
GRX,$216.51M
SRNE,$640.87M
PCTY,$2.61B
GRX^A,n/a
EBMT,$102.48M
SCHN,$972.52M
DTW,n/a
RICK,$299.43M
AHP,$314.14M
PNC^Q,n/a
SITO,$139.65M
DAC,$159.21M
HTA,$5.68B
EDBI,n/a
SHLD,$273.34M
ARTW,$12.89M
MASI,$4.73B
AVID,$228.17M
RUN,$675.96M
SRET,$3.08M
ISRG,$49.33B
IVFGC,n/a
CPL,$6.73B
CBU,$2.73B
BXMX,$1.49B
HTGX,n/a
RYTM,$869.55M
CVA,$2.17B
SASR,$1.35B
BBVA,$63.61B
PLT,$1.79B
MRNS,$310.5M
SAN^I,n/a
MCN,$150.68M
KLIC,$1.75B
JMP,$117.71M
PAC,$6.03B
HAFC,$1.02B
SBBX,$229.87M
IBIO,$20.63M
CHKR,$86.49M
LSXMK,$14.71B
NCA,$277.62M
OII,$2.15B
AMH,$5.84B
CNACU,$192.71M
BPRN,n/a
HUM,$40.24B
GGM,$167.41M
NAP,$210.73M
SSY,$13.74M
GROW,$57.33M
MUX,$785.33M
PFF,$17.44B
INDU,$281.18M
CGO,$135.1M
LNTH,$885.14M
DEO,$90.04B
INOD,$31.57M
ATACR,n/a
ESGD,$144.98M
CDMOP,$17.36M
AGYS,$287.94M
GDV^D,n/a
ENPH,$183.04M
ICPT,$1.63B
FRSX,$106.87M
ORBK,$2.52B
MSBI,$618.44M
GBNK,$834.84M
BGCP,$4.24B
SRG,$2.29B
PENN,$2.98B
CTRL,$782.25M
AKO.B,n/a
BPOPN,$288M
BHAC,$29.32M
AJXA,n/a
LOGM,$6.63B
KAACU,n/a
APPN,$1.89B
CHMI,$223.13M
TCAP,$511.78M
EWZS,$87.2M
RYAAY,$28.91B
UNF,$3.34B
GNC,$365.46M
VSAR,$75.2M
JBT,$3.67B
SABR,$5.8B
PSB^U,n/a
DRE,$9.29B
LANC,$3.52B
HBCP,$394.96M
PBB,n/a
BIG,$2.66B
CCK,$7.82B
MQY,$453.75M
KEP,$21.58B
APDNW,n/a
ETSY,$2.34B
SNOA,$23.69M
BBT^E,n/a
RS,$6.69B
GRBK,$584.25M
SLIM,$3.37M
BTX.WS,n/a
HRI,$1.94B
ZFGN,$161.36M
MCS,$744.69M
ARQL,$151.57M
ALK,$7.94B
SENEB,$322.07M
PUB,$591.2M
MFINL,n/a
YGE,$32.72M
PRKR,$22.26M
ENSV,$49.13M
UTX,$110.19B
IFV,$989.39M
STE,$7.83B
DDR^K,n/a
SSTI,$163.45M
WDFC,$1.79B
IP,$26.74B
XIN,$515.32M
ESG,$16.8M
GLDD,$305.3M
HYLS,$1.23B
PY,$12.18M
CMU,$127.42M
MFNC,$99.7M
SNN,$16.27B
AEP,$33.82B
AVYA,n/a
LDP,$731.43M
CLCT,$254.16M
I,$357M
STLRW,n/a
SB^C,n/a
SXC,$812.81M
CLRBW,n/a
CNAC,$181.22M
CTB,$2.01B
HES^A,n/a
CFBI,$90.99M
FLY,$384.55M
TRIP,$5.11B
LIFE,$111.59M
JCS,$32.38M
PEZ,$56.1M
NUV,$2.02B
MICR,$9.77M
LDOS,$10.03B
GPI,$1.67B
SWM,$1.44B
DFRG,$369.21M
APAM,$3.12B
PCG^C,n/a
RWC,$51.22M
QADA,$816.97M
MG,$627.77M
AOSL,$410.65M
ANAT,$3.52B
TCON,$52.22M
GIB,$14.37B
TPZ,$146.46M
XPER,$1.16B
BPTH,$27.63M
RGLS,$139.3M
KKR^A,n/a
SBAC,$20.25B
WLH,$1.11B
EBR.B,n/a
DTRM,$27.54M
